Year,Entity,Life expectancy
1812,Canada,39.01796
1813,Canada,39.019459
1814,Canada,39.020954
1815,Canada,39.022453
1816,Canada,39.023949
1817,Canada,39.025444
1818,Canada,39.026943
1819,Canada,39.028439
1820,Canada,39.029934
1821,Canada,39.031433
1822,Canada,39.032928
1823,Canada,39.034428
1824,Canada,39.035923
1825,Canada,39.037418
1826,Canada,39.038918
1827,Canada,39.040413
1828,Canada,39.041908
1829,Canada,39.043407
1830,Canada,39.044903
1831,Canada,39.046398
1832,Canada,39.173481
1833,Canada,39.30056
1834,Canada,39.427639
1835,Canada,39.554722
1836,Canada,39.681801
1837,Canada,39.80888
1838,Canada,39.935959
1839,Canada,40.063042
1840,Canada,40.190121
1841,Canada,40.3172
1842,Canada,40.391449
1843,Canada,40.465694
1844,Canada,40.539944
1845,Canada,40.614193
1846,Canada,40.688438
1847,Canada,40.762688
1848,Canada,40.836937
1849,Canada,40.911182
1850,Canada,40.985432
1851,Canada,41.059681
1852,Canada,41.113216
1853,Canada,41.166752
1854,Canada,41.220287
1855,Canada,41.273823
1856,Canada,41.327358
1857,Canada,41.380898
1858,Canada,41.434433
1859,Canada,41.487968
1860,Canada,41.541504
1861,Canada,41.595039
1862,Canada,41.691216
1863,Canada,41.787392
1864,Canada,41.883568
1865,Canada,41.979744
1866,Canada,42.07592
1867,Canada,42.172096
1868,Canada,42.268272
1869,Canada,42.364449
1870,Canada,42.460625
1871,Canada,42.556801
1872,Canada,42.774097
1873,Canada,42.99139
1874,Canada,43.208687
1875,Canada,43.425983
1876,Canada,43.64328
1877,Canada,43.860577
1878,Canada,44.077873
1879,Canada,44.29517
1880,Canada,44.512463
1881,Canada,44.729759
1882,Canada,44.7742
1883,Canada,44.818642
1884,Canada,44.863079
1885,Canada,44.90752
1886,Canada,44.951962
1887,Canada,44.996399
1888,Canada,45.04084
1889,Canada,45.085281
1890,Canada,45.129719
1891,Canada,45.17416
1892,Canada,45.520191
1893,Canada,45.866222
1894,Canada,46.212257
1895,Canada,46.558289
1896,Canada,46.90432
1897,Canada,47.250351
1898,Canada,47.596382
1899,Canada,47.942417
1900,Canada,48.288448
1901,Canada,48.63448
1902,Canada,49.022095
1903,Canada,49.409714
1904,Canada,49.797329
1905,Canada,50.184944
1906,Canada,50.572559
